"id","time","I"
3,9.94498189334582,39
4,0,1
4,0.96459060459257,2
4,1.1465476210989,3
4,2.23364645622805,4
4,3.76657877639482,5
4,3.77731885192615,6
4,4.11795365249067,7
4,4.31539023012864,8
4,4.56761563737248,9
4,5.21534524374121,10
4,5.4882576003611,11
4,5.7614502368822,12
4,5.80505874258788,13
4,6.08526248673077,14
4,6.42995147660818,15
4,6.62519765485199,16
4,6.67139863020438,17
4,6.69499807259452,18
4,6.91092541270769,19
4,6.9177133145282,20
4,7.11310238539598,21
4,7.47333639263988,22
4,7.88263258181441,23
4,7.96931428409919,24
4,8.06669050531512,25
4,8.14034017375322,26
4,8.27591300629563,27
4,8.49268969226796,28
4,8.5735132599945,29
4,8.81807124512623,30
4,8.90656913553407,31
4,9.16917265619032,32
4,9.53911550758794,33
4,9.54065020019238,34
4,9.59131477870627,35
4,9.7280440730602,36
5,0,1
5,0.460508388104075,2
5,1.48542557472798,3
5,1.5668485677989,4
5,2.93268142279154,5
5,3.15633064424705,6
5,3.68522040624664,7
5,3.74311097316103,8
5,4.07941239577729,9
5,4.45769407836041,10
5,4.52391056110962,11
5,4.53122274032137,12
5,4.88670434168467,13
5,5.20567713989409,14
5,5.23080406561576,15
5,5.29159232320139,16
5,5.78224919545269,17
5,5.891931017481,18
5,5.90439547417034,19
5,6.06782616073593,20
5,6.26362804829772,21
5,6.29386936756831,22
5,6.35770139731315,23
5,6.38080384089965,24
5,6.58372067223524,25
5,6.78314993882455,26
5,7.44610827402514,27
5,7.66640878508616,28
5,7.70591249123548,29
5,7.72770869018057,30
5,7.9424518344611,31
5,8.06779475829255,32
5,8.16690973519211,33
5,8.5081789286996,34
5,8.5666445719774,35
5,8.59318673414883,36
5,8.84352933521955,37
5,8.85754724026143,38
5,8.97280922464053,39
5,9.02216676940775,40
5,9.07725486209715,41
5,9.09858972014648,42
5,9.40198228208399,43
5,9.6405096917312,44
5,9.81938222079207,45
5,9.86201627730061,46
6,0,1
6,0.785592821568756,2
6,2.28919351674865,3
6,2.52061416416694,4
6,3.83998714369089,5
6,4.40247878737229,6
6,5.24510871554261,7
6,5.2689067086068,8
6,5.31030016559634,9
6,5.31903738710785,10
6,5.37720412328595,11
6,5.74559689518261,12
6,5.76600442571995,13
6,5.80724815315321,14
6,6.30043794847739,15
6,6.5406348607917,16
6,7.18180276638204,17
6,7.43084757872192,18
6,7.8354240803188,19
6,8.20234323259456,20
6,8.25449388330637,21
6,8.36447381826332,22
6,8.59719094749231,23
6,8.7518650562766,24
6,8.90818702098896,25
6,9.10709130418231,26
6,9.2851141912708,27
6,9.31530425711258,28
6,9.38645837825995,29
6,9.48021842084562,30
7,0,1
7,0.22549787592885,2
7,0.968529707243016,3
7,0.96862521961149,4
7,1.33314074706237,5
7,1.59433522140583,6
7,1.64152117254138,7
7,1.93330783560136,8
7,2.27943455693728,9
7,2.88676287783688,10
7,2.90369972666782,11
7,2.98936420392243,12
7,3.04003139802874,13
7,3.07206566122768,14
7,3.60949205701246,15
7,3.79663853208829,16
7,3.85109646679225,17
7,3.99417697208192,18
7,4.04113375182764,19
7,4.07995525483596,20
7,4.44959685471435,21
7,4.70344881480476,22
7,4.83651801032045,23
7,5.06094182969322,24
7,5.10078045796751,25
7,5.39229873170734,26
7,5.50106541538659,27
7,5.50960512614169,28
7,5.620132641905,29
7,5.67062371053323,30
7,5.98355819683605,31
7,6.02706607644196,32
7,6.07076138623642,33
7,6.16636065987066,34
7,6.23395134580702,35
7,6.30180244824431,36
7,6.33715067794574,37
7,6.36459865711633,38
7,6.74368880056392,39
7,6.75479470738548,40
7,6.80044633963018,41
7,6.9914338098156,42
7,7.28621720695126,43
7,7.33621970667891,44
7,7.50819118276883,45
7,7.75153491121097,46
7,7.9519460362489,47
7,8.15562505085376,48
7,8.21743130474862,49
7,8.56469124275316,50
7,8.66605214717855,51
7,9.16583354215481,52
7,9.87373701944593,53
8,0,1
8,4.04451006532811,2
8,9.25312579065505,3
8,9.4941166908772,4
8,9.55274901783816,5
8,9.61834878336633,6
9,0,1
9,1.95019230385007,2
9,2.12027876110439,3
9,2.42509627661147,4
9,3.3777645497227,5
9,3.48647460066101,6
9,4.61942977201635,7
9,4.81360428509656,8
9,5.52199744176778,9
9,5.57287562068041,10
9,5.64172912984576,11
9,5.80265609310789,12
9,5.89871419124154,13
9,5.92570983758212,14
9,6.88476708769738,15
9,7.06411095565413,16
9,7.21113327039764,17
9,7.30110058823607,18
9,7.40873548804863,19
9,7.43938534338941,20
9,7.60319764994154,21
9,7.83154945511123,22
9,7.84200132628664,23
9,7.91296373665429,24
9,8.47400669316734,25
9,8.5556594727465,26
9,8.56541447634967,27
9,8.62239192693389,28
9,8.8202808890821,29
9,8.9816182932351,30
9,9.1356668955125,31
9,9.22044222424812,32
9,9.41591066239415,33
9,9.68926046804576,34
9,9.75306128942156,35
9,9.77241922525038,36
10,0,1
11,0,1
11,0.497256904769572,2
11,1.71402325277053,3
11,2.36919548991979,4
11,2.62706237036047,5
11,2.68129320969325,6
11,3.1531593701709,7
11,3.37078991585742,8
11,3.48024452426065,9
11,3.52322818228807,10
11,3.60334956132742,11
11,3.71754255587041,12
11,3.76211237322267,13
11,3.98674882485591,14
11,4.09079601508035,15
11,4.2986897394813,16
11,4.93765148751736,17
11,4.96883753147623,18
11,5.00880826189547,19
11,5.10486297076515,20
11,5.60559925313328,21
11,5.68966988549713,22
11,5.86097339408045,23
11,6.03224239539336,24
11,6.18860312822321,25
11,6.27825964568628,26
11,6.3549027605621,27
11,6.37512392920039,28
11,6.45923239794168,29
11,6.55048350239851,30
11,6.57933238938508,31
11,6.73223824016155,32
11,6.78721888461055,33
11,7.00227042752916,34
11,7.10600312864769,35
11,7.11576197344905,36
11,7.16129673693424,37
11,7.39173743796413,38
11,7.44442764739286,39
11,7.51525111299986,40
11,7.67694669527426,41
11,7.9251992567661,42
11,8.12408968625218,43
11,8.24716817110299,44
11,8.37663044102012,45
11,8.49313523124011,46
11,8.57186401828,47
11,8.71994294623641,48
11,8.91384425892304,49
11,8.99761071635598,50
11,9.35304263476742,51
11,9.46938986632264,52
11,9.84321576203591,53
12,0,1
12,1.89101460618026,2
12,2.34798558605733,3
12,2.631986399953,4
12,2.7370969325822,5
12,3.1360552277568,6
12,3.37686045116851,7
12,3.74274610935964,8
12,3.97020715628079,9
12,4.17338357827792,10
12,4.6269277692308,11
12,4.79520252077307,12
12,5.30332519501394,13
12,5.64104258604802,14
12,5.70215628122243,15
12,5.71706188892278,16
12,5.80577232811879,17
12,5.94199354277821,18
12,6.0005598646409,19
12,6.10331296472316,20
12,6.14767973415813,21
12,6.5983746663026,22
12,6.79201011065392,23
12,7.71971952633071,24
12,7.74088038031858,25
12,7.80150418805706,26
12,7.84537472203372,27
12,8.10133308669052,28
12,8.17922672978169,29
12,8.25886022393081,30
12,8.4352096149684,31
12,8.49084066086277,32
12,8.60281559241301,33
12,8.6295933741849,34
12,8.82423347216986,35
12,9.14463193099104,36
12,9.17613892281914,37
12,9.24715424016672,38
12,9.29329487195794,39
12,9.73595782206317,40
12,9.7747305083984,41
12,9.86597035009395,42
12,9.90817039727672,43
12,9.9264797010463,44
12,9.94624077587607,45
13,0,1
13,1.39950281798334,2
13,2.23424093747735,3
13,2.36974094372433,4
13,2.56864824475379,5
13,2.69248800309033,6
13,3.07294831014583,7
13,3.41750116804903,8
13,3.62717168727826,9
13,3.73763089749546,10
13,4.34982914820598,11
13,4.58513904857045,12
13,4.92516948206695,13
13,5.07256100829135,14
13,5.0966081244908,15
13,5.56835114422143,16
13,5.91619548974455,17
13,5.99799463896731,18
13,6.74625636135292,19
13,6.81925017552344,20
13,7.08214202054341,21
13,7.21949881997426,22
13,7.23197369693102,23
13,7.25144829986469,24
13,7.25245150993534,25
13,7.45612370028585,26
13,8.02415568222263,27
13,8.1048593939556,28
13,8.29548530229652,29
13,8.35902881928573,30
13,8.52823434864706,31
13,8.55884263786545,32
13,8.78026368505918,33
13,8.82017859361719,34
13,9.08217901445719,35
13,9.20595520443432,36
13,9.28581467773708,37
13,9.52804228666076,38
13,9.72759949212368,39
14,0,1
14,1.36339058247158,2
14,1.85995365684326,3
14,2.06927777747822,4
14,2.13102365766651,5
14,2.20878004865804,6
14,2.83126978657892,7
14,3.07674327690878,8
14,3.0964096221436,9
14,3.93126825777145,10
14,3.96965312974102,11
14,3.99373073828507,12
14,4.50389797060125,13
14,4.54937539703861,14
14,4.60677053158785,15
14,5.12625142372053,16
14,5.19249250586852,17
14,5.26440882542579,18
14,5.28683686056529,19
14,5.35992105783423,20
14,5.93716524876757,21
14,5.94499665439751,22
14,6.50507281947816,23
14,6.69889766826056,24
14,6.8890925098325,25
14,7.05294083888546,26
14,7.22141136560938,27
14,7.24800752129178,28
14,7.40843890806435,29
14,7.43929488986962,30
14,7.57394469260841,31
14,8.09634321766897,32
14,8.29903137069259,33
14,8.37278036361793,34
14,8.42240636244438,35
14,8.5081523409488,36
14,8.75726730942117,37
14,8.78777905654757,38
14,8.90088857523073,39
14,9.01281711335114,40
14,9.11664602669707,41
14,9.18153973844029,42
14,9.47942888319291,43
14,9.66306087687353,44
14,9.71863639733692,45
15,0,1
15,3.12769706833246,2
15,3.28019430706893,3
15,3.40662348193344,4
15,3.42880481522455,5
15,3.93151122817724,6
15,4.36965653032877,7
15,4.80169785207832,8
15,4.92113580173862,9
15,4.95601492393586,10
15,5.06712245903733,11
15,5.13875300156499,12
15,5.22096613688475,13
15,5.29930947511265,14
15,5.33414389904229,15
15,5.41160786275288,16
15,5.52645418575586,17
15,5.53450347142729,18
15,5.58426163932034,19
15,5.58797138506324,20
15,5.6927213978029,21
15,5.85490196784307,22
15,5.96768899380096,23
15,6.03724219986614,24
15,6.091145834345,25
15,6.12103466648659,26
15,6.19653439223378,27
15,6.22861167644937,28
15,6.31047294884959,29
15,6.38958179618887,30
15,6.45975105126422,31
15,6.54480549084895,32
15,6.75783948401646,33
15,6.79122913308503,34
15,6.82089016119577,35
15,6.83360543887667,36
15,6.9929099863825,37
15,7.04796759975639,38
15,7.05020593325792,39
15,7.38161943442716,40
15,7.67805280357799,41
15,8.01530867469,42
15,8.09607595857134,43
15,8.22120410731745,44
15,8.27550048667604,45
15,8.34462922137725,46
15,8.46217324727726,47
15,8.73238443509593,48
15,8.80859686659412,49
15,9.39458092910082,50
15,9.53745389439941,51
16,0,1
16,2.78965529614124,2
16,3.65951587662665,3
16,4.49682370123603,4
16,5.38054693115914,5
16,5.64851445594503,6
16,5.7318451929849,7
16,6.5976792930508,8
16,7.19806365272809,9
16,7.24634631804427,10
16,7.45342173120167,11
16,7.93815523489326,12
16,8.32779446989978,13
16,8.36124483043012,14
16,8.49782960863744,15
16,8.54743955195117,16
16,9.40052366549807,17
17,0,1
17,1.41797076460206,2
17,3.4164161124943,3
17,4.06844813317902,4
17,4.26537873846522,5
17,4.59985074254023,6
17,4.68129825515089,7
17,5.05248343122329,8
17,5.06611561958031,9
17,5.18214727631598,10
17,5.44977975799708,11
17,5.7015017090408,12
17,5.95864480866913,13
17,5.96279081624316,14
17,5.97184339635574,15
17,6.34772012469584,16
17,6.52269635241962,17
17,6.57805509941283,18
17,6.77843477548823,19
17,6.92822956093825,20
17,6.96954644257441,21
17,6.98919955978354,22
17,7.11270560468409,23
17,7.28808902873842,24
17,7.35304129960355,25
17,7.46120724270948,26
17,7.6149267100212,27
17,7.64381511451295,28
17,7.70471099745035,29
17,7.86836013472475,30
17,7.9421142687539,31
17,8.33980701943577,32
17,8.37660438192776,33
17,8.41720510803903,34
17,8.45632458609627,35
17,8.45716112142795,36
17,8.479202527393,37
17,8.72028457120262,38
17,8.99784737833743,39
17,9.24936278204255,40
17,9.26132527568815,41
17,9.26714541724271,42
17,9.62290030067997,43
18,0,1
