"id","b1_estimate","b1_inCI_col","b1_CI_width_col","b2_estimate","b2_inCI_col","b2_CI_width_col"
1,0.142329608857317,NA,NA,0.234767606673117,1,0.502523292349279
2,0.682924744016317,NA,NA,0.27836397816992,1,0.239372250151998
3,0.337450990719625,1,0.807251730668087,0.311464786817446,1,0.355597299720875
4,0.618130255868552,NA,NA,0.342647046658758,1,0.271925379636642
5,0.471497068122003,NA,NA,0.252729851762292,1,0.268688848111135
6,0.227324182137614,NA,NA,0.312968110406624,1,0.448244443756121
7,0.4128818043572,1,0.837645283827589,0.267243200676957,1,0.300472749359445
8,0.01,NA,NA,0.288820324183784,1,0.777013431689242
9,0.412881637897693,1,0.837645283844008,0.380224163272561,1,0.336853579115361
10,0.337450996673478,1,0.807251730667592,0.327239381251162,1,0.361737480439223
11,0.412881711239452,1,0.837645283841469,0.339202635375923,1,0.325479967940231
12,0.618129720974977,NA,NA,0.358007367031136,1,0.278377207039394
13,0.698025326996765,NA,NA,0.278742552827878,1,0.239727460064688
14,0.443734249708846,NA,NA,0.322172272250406,1,0.306545879955844
15,0.618129720372727,NA,NA,0.202899577823969,1,0.207826876030833
16,0.52024352673793,NA,NA,0.300063943123985,1,0.270853575702767
17,0.412881699170445,1,0.837645283837132,0.393748299150597,1,0.343542600637885
18,0.581976813892722,NA,NA,0.409848628318079,1,0.301490625537687
19,0.542063258010705,NA,NA,0.30529584666958,1,0.268446544590514
20,0.471496897207531,NA,NA,0.23840685304721,1,0.261040213615223
21,0.755695587558418,NA,NA,0.416739727777402,1,0.325748503496959
22,0.471496202880259,NA,NA,0.348652985282427,1,0.302130460084243
23,0.581976505051128,NA,NA,0.211841701224092,1,0.218301691169607
24,0.142329608857317,NA,NA,0.234767606673117,1,0.502523292349279
25,0.769641428928436,NA,NA,0.292791493778246,1,0.254681444493661
226,0.581974784437207,NA,NA,0.252153066117147,1,0.241787336621609
227,0.496839691650363,NA,NA,0.152754301134262,1,0.207417912688723
228,0.00999999999999999,NA,NA,0.14232932461402,NA,NA
229,0.712807533350056,NA,NA,0.204986139728427,1,0.201322354906706
230,0.227324037005979,NA,NA,0.405542045768289,1,0.475631403997633
231,0.443734295449233,NA,NA,0.458536493009376,1,0.349649096001556
232,0.142327689359879,NA,NA,0.01,NA,NA
233,0.22732316638389,NA,NA,0.35267179133155,1,0.459269726539643
234,0.727319117735915,NA,NA,0.316242321716397,1,0.264745921349973
235,0.618129728800958,NA,NA,0.256909044017359,1,0.236489451061181
236,0.412881887305539,1,0.83764528381916,0.352983050678624,1,0.328308813694772
237,0.667450583204998,NA,NA,0.249796622329035,1,0.23022593412535
238,0.810916067381985,NA,NA,0.271421267156967,1,0.248886080089084
239,0.769641462593586,NA,NA,0.223819974673641,1,0.215795522976101
240,0.142329488067449,NA,NA,0.491109700200808,1,0.597694574924739
241,0.443734396628853,NA,NA,0.189262340055887,1,0.250396391963396
242,0.33744987686669,1,0.807251730661209,0.295188115185072,1,0.352328754651411
243,0.667449266363384,NA,NA,0.27874196975284,1,0.23972746005719
244,0.01,NA,NA,0.01,NA,NA
245,0.865831778899677,NA,NA,0.259599384306619,1,0.257960269172721
246,0.682924854794337,NA,NA,0.293689974198938,1,0.248048293207729
247,0.879750173523178,NA,NA,0.203968998678447,1,0.218996039187849
248,0.47149686776129,NA,NA,0.266826415146091,1,0.275508239435607
249,0.44373426528235,NA,NA,0.308404956624876,1,0.298951689611837
250,0.443734302500998,NA,NA,0.335822044211876,1,0.310562286366562
2476,0.47149637604332,NA,NA,0.280733625314396,1,0.278706840104215
2477,0.651541773187996,NA,NA,0.309463498466355,1,0.258829502455267
2478,0.288819070887098,1,0.777013431698075,0.206512661160942,1,0.343362396744212
2479,0.542062870231854,NA,NA,0.29180646332302,1,0.261925812642052
2480,0.542063837813507,NA,NA,0.278356281211509,1,0.255559061722932
2481,0.542063816278815,NA,NA,0.374376444555247,1,0.29586018438987
2482,0.581976419623161,NA,NA,0.394017175624357,1,0.295885542494256
2483,0.288821053891835,1,0.777013431648244,0.229752621899348,1,0.360107102470685
2484,0.667450625615455,NA,NA,0.293690041971643,1,0.248048293215712
2485,0.667450505254132,NA,NA,0.43386997750962,1,0.317496114334849
2486,0.142329242315742,NA,NA,0.194399792937881,NA,NA
2487,0.618129714766104,NA,NA,0.407079964613323,1,0.298906549700944
2488,0.142329549830744,NA,NA,0.353256759270308,1,0.560749014779713
2489,0.443734302957381,NA,NA,0.266042015595716,1,0.2866503406882
2490,0.227324026623822,NA,NA,0.291263638676135,1,0.436608866452098
2491,0.520243095218979,NA,NA,0.34057992717519,1,0.285807886601206
2492,0.712807832658866,NA,NA,0.313035161917026,1,0.262457227787588
2493,0.377958820090605,1,0.821369009809041,0.469333312953039,1,0.381000257830263
2494,0.520244132770406,NA,NA,0.273131696954861,1,0.259727496468804
2495,0.893811591635788,NA,NA,0.171032660264489,1,0.199742014949296
2496,0.755696777690098,NA,NA,0.391400940979994,1,0.310960246960415
2497,0.288818221908961,1,0.777013431683635,0.181345328647174,1,0.329210369971926
2498,0.712807787478386,NA,NA,0.330605040994715,1,0.267804288865446
2499,0.01,NA,NA,0.471496887007133,NA,NA
2500,0.682925093267655,NA,NA,0.360235499716503,1,0.28052467892526
2501,0.667450545511805,NA,NA,0.194493508204943,1,0.199672899054479
2502,0.471496897711989,NA,NA,0.430723309064181,1,0.33042101470724
2503,0.412881796349704,1,0.837645283829141,0.236193416322211,1,0.283668329399626
2504,0.755696383728861,NA,NA,0.23755271284364,1,0.223553128435601
2505,0.377959439813891,1,0.821369009816079,0.271006237810649,1,0.318666917672212
2506,0.496840240344735,NA,NA,0.22752806577227,1,0.246336930242258
2507,0.769641147133639,NA,NA,0.33249616182001,1,0.278298070853436
2508,0.377961307183663,1,0.821369009748118,0.182868538235552,1,0.274328460198027
2509,0.01,NA,NA,0.600450108083447,NA,NA
2510,0.142329242315742,NA,NA,0.194399792937881,NA,NA
